availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg
秋田県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
山形県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
山形県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
福島県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
福島県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
関東地方 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
茨城県,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
茨城県,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
栃木県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
栃木県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
群馬県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
群馬県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
千葉県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
千葉県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
東京都 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
東京都 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
神奈川県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
神奈川県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
甲信越・北陸地方 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
新潟県,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
新潟県,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
富山県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
富山県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
石川県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
石川県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
福井県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
福井県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
長野県,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
長野県,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
東海地方 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
岐阜県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
岐阜県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
静岡県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
静岡県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
愛知県 ,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
愛知県 ,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-20/A48-20_code_pref_GML.zip,A48-20_code_pref_GML.zip,A48-20_code_pref.shp,A48-20_code_pref.geojson,A48-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_1.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,A48_003 ,code_pref_muni,CP932,A48-2021.qml,6668
